Frequency(Hz),AC Status,Z,PH
1900.0,0, 161.274E+03, -11.898
1920.0,0, 161.104E+03, -11.873
1940.0,0, 160.958E+03, -11.747
1960.0,0, 160.624E+03, -11.928
1980.0,0, 160.361E+03, -11.757
2000.0,0, 160.298E+03, -11.600
2020.0,0, 160.038E+03, -11.693
2040.0,0, 159.948E+03, -11.623
2060.0,0, 159.589E+03, -11.609
2080.0,0, 159.208E+03, -11.525
2100.0,0, 159.026E+03, -11.485
2120.0,0, 158.799E+03, -11.465
2140.0,0, 158.638E+03, -11.500
2160.0,0, 158.597E+03, -11.426
2180.0,0, 158.487E+03, -11.552
2200.0,0, 158.271E+03, -11.290
2220.0,0, 158.168E+03, -11.256
2240.0,0, 157.760E+03, -11.215
2260.0,0, 158.021E+03, -11.253
2280.0,0, 157.804E+03, -11.189
2300.0,0, 157.758E+03, -11.209
2320.0,0, 157.668E+03, -11.045
2340.0,0, 157.562E+03, -11.059
2360.0,0, 157.304E+03, -11.093
2380.0,0, 157.304E+03, -10.996
2400.0,0, 157.218E+03, -10.952
2420.0,0, 157.023E+03, -10.907
2440.0,0, 156.860E+03, -10.868
2460.0,0, 156.702E+03, -10.929
2480.0,0, 156.709E+03, -10.841
2500.0,0, 156.534E+03, -10.719
2520.0,0, 156.283E+03, -10.763
2540.0,0, 156.110E+03, -10.746
2560.0,0, 156.236E+03, -10.691
2580.0,0, 156.082E+03, -10.655
2600.0,0, 155.839E+03, -10.606
2620.0,0, 155.786E+03, -10.632
2640.0,0, 155.816E+03, -10.568
2660.0,0, 155.464E+03, -10.533
2680.0,0, 155.446E+03, -10.566
2700.0,0, 155.238E+03, -10.498
2720.0,0, 155.548E+03, -10.340
2740.0,0, 156.859E+03, -10.369
2760.0,0, 161.350E+03, -10.449
2780.0,0, 164.960E+03, -10.369
2800.0,0, 172.453E+03, -10.581
2820.0,0, 182.922E+03, -10.729
2840.0,0, 204.256E+03, -11.378
2860.0,0, 223.972E+03, -11.576
2880.0,0, 236.735E+03, -11.375
2900.0,0, 247.793E+03, -11.895
2920.0,0, 301.067E+03, -14.158
2940.0,0, 486.580E+03, -15.266
2960.0,0, 590.820E+03, -15.011
2980.0,0, 501.679E+03, -15.413
3000.0,0, 484.405E+03, -14.598
3020.0,0, 43.5416E+06, -91.612
3040.0,0, 37.5697E+06, -80.637
3060.0,0, 182.430E+03, -10.997
3080.0,0, 168.373E+03, -10.663
3100.0,0, 164.630E+03, -10.555
3120.0,0, 163.863E+03, -10.460
3140.0,0, 164.823E+03, -10.343
3160.0,0, 173.232E+03, -10.321
3180.0,0, 195.213E+03, -10.646
3200.0,0, 234.855E+03, -12.141
3220.0,0, 299.859E+03, -12.771
3240.0,0, 315.562E+03, -12.779
3260.0,0, 259.057E+03, -12.121
3280.0,0, 211.999E+03, -10.982
3300.0,0, 183.973E+03, -10.308
3320.0,0, 170.383E+03,  -9.736
3340.0,0, 166.449E+03, -10.009
3360.0,0, 164.865E+03,  -9.816
3380.0,0, 164.158E+03,  -9.951
3400.0,0, 164.612E+03,  -9.796
3420.0,0, 164.377E+03,  -9.862
3440.0,0, 164.359E+03,  -9.786
3460.0,0, 163.941E+03,  -9.700
3480.0,0, 163.453E+03,  -9.642
3500.0,0, 163.432E+03,  -9.603
3520.0,0, 164.356E+03,  -9.546
3540.0,0, 165.509E+03,  -9.454
3560.0,0, 167.870E+03,  -9.329
3580.0,0, 169.876E+03,  -9.196
3600.0,0, 172.390E+03,  -9.061
3620.0,0, 173.547E+03,  -9.011
3640.0,0, 174.188E+03,  -8.944
3660.0,0, 173.883E+03,  -8.904
3680.0,0, 173.704E+03,  -8.895
3700.0,0, 173.211E+03,  -8.936
3720.0,0, 173.630E+03,  -8.892
3740.0,0, 173.255E+03,  -8.947
3760.0,0, 174.002E+03,  -8.901
3780.0,0, 173.889E+03,  -8.827
3800.0,0, 173.589E+03,  -8.646
3820.0,0, 173.341E+03,  -8.744
3840.0,0, 173.016E+03,  -8.735
3860.0,0, 172.506E+03,  -8.763
3880.0,0, 172.073E+03,  -8.725
3900.0,0, 172.136E+03,  -8.727
3920.0,0, 171.612E+03,  -8.804
3940.0,0, 170.992E+03,  -8.796
3960.0,0, 170.755E+03,  -8.742
3980.0,0, 170.944E+03,  -8.618
4000.0,0, 170.933E+03,  -8.594
4020.0,0, 170.506E+03,  -8.606
4040.0,0, 170.191E+03,  -8.565
4060.0,0, 169.898E+03,  -8.571
4080.0,0, 169.887E+03,  -8.514
4100.0,0, 169.749E+03,  -8.520
4120.0,0, 169.664E+03,  -8.551
4140.0,0, 169.443E+03,  -8.537
4160.0,0, 169.227E+03,  -8.466
4180.0,0, 168.833E+03,  -8.446
4200.0,0, 168.746E+03,  -8.489
4220.0,0, 168.493E+03,  -8.427
4240.0,0, 168.585E+03,  -8.348
4260.0,0, 168.687E+03,  -8.432
4280.0,0, 168.369E+03,  -8.325
4300.0,0, 168.535E+03,  -8.441
4320.0,0, 168.420E+03,  -8.297
4340.0,0, 168.352E+03,  -8.329
4360.0,0, 168.488E+03,  -8.265
4380.0,0, 168.712E+03,  -8.214
4400.0,0, 168.415E+03,  -8.133
4420.0,0, 168.639E+03,  -8.114
4440.0,0, 168.501E+03,  -8.200
4460.0,0, 168.734E+03,  -8.128
4480.0,0, 169.159E+03,  -8.086
4500.0,0, 169.560E+03,  -8.035
4520.0,0, 169.784E+03,  -8.045
4540.0,0, 170.294E+03,  -7.882
4560.0,0, 170.909E+03,  -7.920
4580.0,0, 171.042E+03,  -7.917
4600.0,0, 171.344E+03,  -7.891
4620.0,0, 172.408E+03,  -7.788
4640.0,0, 173.046E+03,  -7.796
4660.0,0, 172.877E+03,  -7.792
4680.0,0, 172.890E+03,  -7.828
4700.0,0, 172.868E+03,  -7.767
4720.0,0, 172.878E+03,  -7.776
4740.0,0, 173.550E+03,  -7.707
4760.0,0, 174.518E+03,  -7.634
4780.0,0, 175.293E+03,  -7.574
4800.0,0, 175.158E+03,  -7.686
4820.0,0, 175.650E+03,  -7.643
4840.0,0, 175.606E+03,  -7.608
4860.0,0, 175.545E+03,  -7.615
4880.0,0, 175.384E+03,  -7.612
4900.0,0, 175.424E+03,  -7.508
4920.0,0, 175.793E+03,  -7.591
4940.0,0, 175.975E+03,  -7.701
4960.0,0, 175.949E+03,  -7.647
4980.0,0, 175.927E+03,  -7.628
5000.0,0, 175.976E+03,  -7.587
